player_ip,timestamp,yolo_obj,confidence,position_of_object
172.19.113.65,1742105844527,enemy,0.5748535,"[370, 289, 49, 26]"
172.19.113.65,1742105844544,enemy,0.8612592,"[350, 250, 22, 57]"
172.19.113.65,1742105844544,enemy,0.87466806,"[374, 294, 49, 23]"
172.19.113.65,1742105844560,enemy,0.93516505,"[361, 256, 22, 58]"
172.19.113.65,1742105844578,enemy,0.701417,"[363, 257, 23, 62]"
172.19.113.65,1742105844578,enemy,0.8236607,"[361, 255, 27, 65]"
172.19.113.65,1742105844594,enemy,0.5623537,"[365, 256, 22, 64]"
172.19.113.65,1742105844594,enemy,0.900637,"[362, 255, 27, 66]"
172.19.113.65,1742105844611,enemy,0.56202286,"[364, 258, 22, 64]"
172.19.113.65,1742105844611,enemy,0.90315336,"[360, 256, 28, 65]"
172.19.113.65,1742105844628,enemy,0.6730877,"[363, 256, 20, 67]"
172.19.113.65,1742105844628,enemy,0.857702,"[360, 255, 25, 67]"
172.19.113.65,1742105844645,enemy,0.7391999,"[361, 256, 20, 63]"
172.19.113.65,1742105844645,enemy,0.72004783,"[358, 254, 25, 65]"
172.19.113.65,1742105844661,enemy,0.79868054,"[357, 254, 26, 72]"
172.19.113.65,1742105844678,enemy,0.9109657,"[353, 254, 26, 75]"
172.19.113.65,1742105844695,enemy,0.97864646,"[349, 250, 27, 81]"
172.19.113.65,1742105844712,enemy,0.9497235,"[354, 241, 23, 81]"
172.19.113.65,1742105844728,enemy,0.9460856,"[349, 236, 25, 85]"
172.19.113.65,1742105844745,enemy,0.8797466,"[346, 230, 25, 92]"
172.19.113.65,1742105844745,enemy,0.68580806,"[347, 231, 24, 92]"
172.19.113.65,1742105844761,enemy,0.9281309,"[343, 227, 26, 93]"
172.19.113.65,1742105844778,enemy,0.94010305,"[337, 228, 27, 91]"
172.19.113.65,1742105844778,enemy,0.51872355,"[336, 228, 25, 98]"
172.19.113.65,1742105844795,enemy,0.72058916,"[326, 227, 31, 91]"
172.19.113.65,1742105844795,enemy,0.82984924,"[330, 225, 31, 95]"
172.19.113.65,1742105844795,enemy,0.5878943,"[353, 281, 73, 31]"
172.19.113.65,1742105844812,enemy,0.94155014,"[318, 219, 30, 105]"
172.19.113.65,1742105844812,enemy,0.6458641,"[351, 276, 64, 33]"
172.19.113.65,1742105844828,enemy,0.9448406,"[309, 220, 29, 104]"
172.19.113.65,1742105844828,enemy,0.9293615,"[347, 276, 61, 31]"
172.19.113.65,1742105844845,enemy,0.87282526,"[303, 223, 27, 94]"
172.19.113.65,1742105844845,enemy,0.9459885,"[345, 275, 57, 28]"
172.19.113.65,1742105844861,enemy,0.9519012,"[295, 220, 25, 95]"
172.19.113.65,1742105844861,enemy,0.5831408,"[340, 269, 56, 33]"
172.19.113.65,1742105844861,enemy,0.9034678,"[341, 271, 59, 29]"
172.19.113.65,1742105844879,enemy,0.9070719,"[270, 219, 46, 106]"
172.19.113.65,1742105844879,enemy,0.9104346,"[277, 215, 38, 110]"
172.19.113.65,1742105844896,enemy,0.9732694,"[262, 215, 38, 96]"
172.19.113.65,1742105844896,enemy,0.7679498,"[333, 263, 62, 32]"
172.19.113.65,1742105844912,enemy,0.96295124,"[258, 210, 34, 94]"
172.19.113.65,1742105844912,enemy,0.63258976,"[259, 213, 32, 91]"
172.19.113.65,1742105844912,enemy,0.7531201,"[332, 259, 58, 33]"
172.19.113.65,1742105844929,enemy,0.89675504,"[256, 209, 32, 96]"
172.19.113.65,1742105844929,enemy,0.6076812,"[328, 258, 65, 34]"
172.19.113.65,1742105844945,enemy,0.5995517,"[307, 215, 11, 25]"
